"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3,C5,C10,C11,C12,C13,C15";"C_0805";8;"0.1uF";;;
2;"C2,C4";"C_0402_Hand";2;"15pF";;;
3;"C6,C9";"C_0805";2;"2.2uF";;;
4;"C7";"C_0805";1;"100pF";;;
5;"C8";"C_0805";1;"1uF";;;
6;"C14";"C_0805";1;"1000pF";;;
7;"F1";"c_1206";1;"500mA";;;
8;"L1";"R_SM0603";1;"FB - 30Ohm";;;
9;"P1";"USB_Micro-B";1;"USB_OTG";;;
10;"P2";"Pin_Header_Angled_1x04";1;"CONN_01X04";;;
11;"R1";"R_0805";1;"100k";;;
12;"R2";"R_0805";1;"330";;;
13;"R3";"R_0805";1;"10k";;;
14;"R4";"R_0805";1;"47K";;;
15;"R5,R7,R8,R9,R10,R11";"R_0805";6;"1k";;;
16;"R6";"R_0805";1;"47k";;;
17;"U1";"sot23-5";1;"74AHC1G125";;;
18;"U3";"SOT-23-5";1;"AP2112K-3.3V";;;
19;"U4";"SOIC-8-N";1;"ACS712";;;
20;"U5";"sot23-5";1;"OPA344";;;
21;"Y1";"crystal_smd_3.20x1.50mm2";1;"Crystal_Small";;;
22;"P17";"Atmel_ICE_Connector_02x05";1;"DBG_CONN";;;
23;"RV1,RV2";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";2;"POT";;;
24;"SW1";"OS102011MS2QN1 Slide Switch";1;"MOTOR_SW";;;
25;"SW4";"PTS-LFS";1;"SW_PUSH";;;
26;"U2";"TQFP-48_7x7mm_Pitch0.5mm";1;"SAMD21G18";;;
27;"Q1";"DMG2307L";1;"Q_PMOS_DSG";;;
28;"P3";"TerminalBlock_Pheonix_PT-3.5mm_2pol";1;"THERM";;;
29;"P4";"TerminalBlock_Pheonix_PT-3.5mm_2pol";1;"MOTOR";;;
30;"D1,D2,D3,D4";"LED-0603";4;"LED";;;
